,name,old_product_price,new_product_price_after,new_product_price_before,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,Loại CPU,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Thời điểm ra mắt,Độ phân giải màn hình,Công nghệ - Tiện ích,Loại màn hình,Hệ thống làm mát,Cảm biến,Tương thích
156,Xiaomi Redmi Note 12 4GB 128GB,"3.490.000đ
Khi thu cũ lên đời",3.990.000đ,4.990.000đ,6.67 inches,AMOLED,"Tần số quét 120Hz, độ sáng 1200nits
Corning® Gorilla® Glass 3",120Hz,Đục lỗ (Nốt ruồi),"Camera chính: 50MP, f/1.8
Camera góc rộng: 8MP, f/2.2
Camera Macro: 2MP, f/2.4","1080p@30fps, 720p@30fps","Chân dung
Toàn cảnh
Chế độ chuyên nghiệp
Chế độ ban đêm
Hình mờ tùy chỉnh
Chế độ tài liệu
HDR
Phát hiện cảnh AI
Bùng nổ thời gian
Google Ống kính
Hình mờ AI
Chế độ Video ngắn
Thời Gian Trôi Đi
khung phim
Video vĩ","13MP, f/2.45",1080p@30fps,Qualcomm Snapdragon 685,2X Cortex-A78 @ 2.0GHz ; 6X Cortex-A55 @ 1.8GHz,Adreno™ 619,4 GB,128 GB,Micro SD,5000mAh,Sạc nhanh 33W,USB Type-C,2 SIM (Nano-SIM),Android 12,Có,Có,,4G,802.11 a/b/g/n/ac,v5.1,"GPS/AGPS, Glonass",165.66 x 75.96 x 7.85 mm,183.5 g,,,IP53,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền",,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Bảo mật vân tay, Nhận diện khuôn mặt",,1080 x 2400 pixels (FullHD+),,,,,
157,Vivo Y100,,,,6.38 inches,AMOLED,"Tần số quét 90Hz, HDR10+, 1300 nits",,,"Camera góc rộng: 64MP, f/1.79, OIS
Camera macro: 2MP, f/2.4
Camera đo độ sau: 2MP, f/2.4","4K@30fps, 1080p@30fps","Đèn flash LED, HDR, toàn cảnh","16 MP, f/2.0, IOS",1080p@30fps,MediaTek Dimensity 900,2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,Mali-G68 MC4,8 GB,128 GB,micro SD,4500 mAh,Sạc nhanh 44W,USB Type-C,2 SIM (Nano-SIM),Android 13,,Có,,5G,2.4GHz /5GHz,v5.2,"GPS, BEIDOU, GLONASS, GALILEO, QZSS",158.91 x 73.53 x 7.73mm,181g,Kính,,IP54,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,1080 x 2400 pixels (FullHD+),,,,,
158,Vivo Y71,,,,6.22 inches,IPS LCD,Mặt kính cong 2.5D,,,13 MP,1080p@30fps,"Nhận diện khuôn mặt
Làm đẹp
HDR
Quay video Full HD
Góc rộng (Wide)
Toàn cảnh (Panorama)",5 MP,,Snapdragon 425 4 nhân,,Adreno 308,3 GB,16 GB,Micro USB,3360 mAh,Sạc 10 W,Micro-USB,2 SIM (Nano-SIM),,,Có,,4G,802.11 a/b/g/n,v4.2LE,"GPS, GLONASS",,150 g,Nhựa,Nhựa,,,,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Cảm biến áp kế",,04/2018,720 x 1440 pixels,,,,,
159,Vivo S17,,,,6.78 inches,AMOLED,"1,07 tỷ màu, gam màu 100% DCI-P3, tần số quét 120Hz, 452PPI, 105%NTSC",,,"50 MP, f/1.88
Ống kính góc siêu rộng: 8 MP, f/2.2",,,"50 MP, f/2.0",,Snapdragon 778G+,2.5GHz*1+2.4GHz*3+1.8GHz*4,Adreno 642L,8 GB,256 GB,,4600 mAh,Sạc nhanh 80W,USB Type-C,2 SIM (Nano-SIM),Android 13,,,Có,5G,"WLAN 2.4G, WLAN 5G",v5.2,"GPS: L1, Beidou: B1I, GLONASS: G1, Galileo: E1, QZSS: L1","164,18 x 74,37 x 7,46 mm",186 g,,,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển",,05/2023,,,,,,
160,Realme C30,,,,6.5 inches,IPS LCD,400 nits,,,"8 MP, f/2.0",1080p@30fps,,"5 MP, f/2.2",720p@30fps,Unisoc Tiger T612 (12 nm),2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55,Mali-G57,2 GB,32 GB,"Có, hỗ trợ đến 1TB",5.000 mAh,Sạc 10W,USB Type-C,2 SIM (Nano-SIM),"Android 11, Realme UI Go",,Có,,4G,"Wi-Fi 802.11 b/g/n, hotspot",5.0,"A-GPS, GLONASS, GALILEO, BDS",164.1 x 75.6 x 8.5 mm,182 g,,,,,,,"Cảm biến gia tốc, Cảm biến tiệm cận",,,720 x 1600 pixel,,,,,
161,Redmi A1,,,,6.52 inches,IPS LCD,Tần số quét 60Hz,,,8MP + 2MP,"1080p | 1920 x 1080 ở tốc độ 30fps
720p | 1280 x 720 ở tốc độ 30fps","HDR, AI Camera, Xóa phông, Zoom kỹ thuật số, Trôi nhanh thời gian (Time Lapse)","5MP, f/2.2","1080p | 1920 x 1080 ở tốc độ 30fps
720p | 1280 x 720 ở tốc độ 30fps",MediaTek Helio A22,MediaTek MT6761 4 nhân (Helio A22),IMG PowerVR GE8300,2 GB,32 GB,"MicroSD, Hỗ trợ tăng dung lượng lưu trữ thêm đến 1TB",5000mAh,Sạc nhanh 10W,Micro-USB,2 SIM (Nano-SIM),Android 12 (Phiên bản Go),Có,Có,,4G,802.11 b/g/n,v5.0,"BEIDOU, GLONASS, GPS",164.9 x 76.75 x 9.09 mm,192 g,Nhựa,Nhựa,,"Chặn cuộc gọi, Chặn tin nhắn",,Không,Cảm biến gia tốc,,10/2022,1600 x 720 pixels (HD+),,,,,
162,Nokia C32 4GB 128GB,,,,6.5 inches,IPS LCD,,,Giọt nước,"Camera góc rộng: 50MP, AF
Camera macro: 2 MP",1080p@30fps,"Chế độ ban đêm, Chế độ chân dung, Auto HDR",8 MP,,Unisoc SC9863A (28nm),Octa-Core xung nhịp lên đến 1.6 GHz,IMG8322,4 GB,128 GB,MicroSD lên đến 256GB (khe cắm riêng biệt),5050 mAh,Sạc 10W,USB Type-C,2 SIM (Nano-SIM),Android 13,,Có,Không,4G,802.11 b/g/n,v5.2,GPS/AGPS/Galileo,164.6mm x 75.9mm x 8.55mm |,199.4g,Kính,,IP52,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Cảm biến áp kế",,,720 x 1600 pixel,,,,,
163,Xiaomi 13T 12GB 256GB,"9.990.000đ
Khi thu cũ lên đời",11.990.000đ,12.990.000đ,6.67 inches,OLED,"Màn OLED 1.5K
Tần số quét 144 Hz
Dolby Vision, HDR10+",,,"Camera chính góc rộng: 50 MP, 1/1.22""
Camera góc siêu rộng: 12 MP
Camera Tele: 50 MP","8K@24fps (HDR), 4K@24/30/60fp, 1080p@30/120/240/960fps, 1080p@1920fps, gyro-EIS",,20 MP,1080p@30fps,Dimensity 8200 Ultra,,,12 GB,256 GB,,5.000 mAh,Sạc nhanh 67 W,,,Android 13,,,,5G,Wifi 6,v5.3,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,,,,IP68,,Loa âm thanh nổi,,,,,,,,,,
164,Xperia 10 V,,,,6.1 inches,FHD+ OLED,"1 tỷ màu, HDR
Corning Gorilla Glass Victus
Màn hình Triluminos
Tần số quét 60hz",,,"Camera góc rộng: 48 MP, f/1.8, 26mm, PDAF, OIS
Camera góc siêu rộng: 8 MP, f/2.2, 120˚, 16mm",1080p@30fps,"LED flash, HDR, panorama, chống rung quang học, Zoom hỗn hợp 10X, Chụp ban đêm, Hiệu ứng Bokeh","Camera góc rộng: 8 MP, f/2.0, 26mm, HDR",1080p@30fps,Qualcomm SM6375 Snapdragon 695 5G (6 nm),2x2.2 GHz & 6x1.7 GHz,Adreno 619,8 GB,128 GB,microSDXC,5000 mAh,,USB Type-C,2 SIM (Nano-SIM),Android 13,,Có,Có,5G,802.11 a/b/g/n/ac,"v5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS, QZSS",155 x 68 x 8.3 mm,159 g,Kính,Nhựa,"Chống nước: IP65/IP68
Chống bụi: IP6X",,"Hệ thống Dynamic vibration, High-Resolution Audio, Cải thiện chất lượng âm thanh qua DSEE, 360 Reality Audio, Loa âm thanh nổi,",,,,,1080 x 2520 pixels,,,,,
165,OnePlus 11 5G 16GB 256GB,,,,6.7 inches,Super Fluid AMOLED,"Corning® Gorilla® Glass Victus, Hỗ trợ sRGB, Display P3, 10-bit Color Depth, HDR10+",,,"Camera góc rộng: 50MP, Laser AF, OIS
Camera tele: 32MP, PDAF, OIS, zoom quang 2x
Camera góc siêu rộng: 48MP, AF","8K@24fps
4K@30/60/120fps
1080p@30/60/240fps
Auto HDR","Selfie HDR, Mở khóa bằng khuôn mặt, Flash màn hình, Selfie cảnh đêm, Chỉnh sửa khuôn mặt","Camera góc rộng: 16 MP, ƒ/2.45 hỗ trợ EIS",1080p@30fps,Snapdragon 8 Gen 2 (4 nm),1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Adreno 740,16GB + mở rộng 12GB,256 GB,Không,5000 mAh,Siêu sạc nhanh SuperVOOC 100W,USB Type-C,2 SIM (nano‑SIM và eSIM),OxygenOS trên nền tảng Android™ 13,,Không,Có,5G,"Wi-Fi kép tăng tốc, Wi-Fi 7","v5.3, Codex hỗ trợ: SBC & aptX HD & LDAC & LHDC & AAC","GPS (L1 + L5 Dual Band), GLONASS, Galileo (E1 + E5a Dual Band), Beidou, A GPS, QZSS",163.0 x 74.07 x 8.53 mm,205g,Thép không gỉ cao cấp,Nhôm,IP64,"Loa kép sống động, Dolby Vision®, Dolby Atmos, Công Nghệ Tản Nhiệt VC Gia Tốc Lạnh","Loa kép sống động, Hỗ trợ loại bỏ tiếng ồn, Dolby Atmos® """,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,1440 x 3216 pixels (QHD+),,,"Công Nghệ Tản Nhiệt VC Gia Tốc Lạnh, Tinh thể Graphene",,
166,OnePlus 11 5G 8GB 128GB - Chỉ có tại CellphoneS,"14.990.000đ
Khi thu cũ lên đời",15.990.000đ,17.990.000đ,6.7 inches,Fluid AMOLED,"Corning® Gorilla® Glass Victus, Hỗ trợ sRGB, Display P3, 10-bit Color Depth, HDR10+",120Hz,Đục lỗ (Nốt ruồi),"Camera góc rộng: 50MP, Laser AF, OIS
Camera tele: 32MP, PDAF, OIS, zoom quang 2x
Camera góc siêu rộng: 48MP, AF","8K@24fps
4K@30/60/120fps
1080p@30/60/240fps
Auto HDR","HDR, đèn Dual-LED","Camera góc rộng: 16 MP, ƒ/2.45 hỗ trợ EIS",1080p@30fps,Snapdragon 8 Gen 2 (4 nm),1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Adreno 740,8GB + Mở rộng 8GB,128 GB,Không,5000 mAh,Sạc nhanh 100W SUPERVOOC,USB Type-C,2 SIM (nano‑SIM và eSIM),OxygenOS trên nền tảng Android™ 13,,Không,Có,5G,802.11 a/b/g/n/ac/6e,v5.3,"GPS (L1+L5), GLONASS (G1), BDS (B1), GALILEO (E1+E5a)",163.0 x 74.07 x 8.53 mm,205g,Thép không gỉ cao cấp,Nhôm,IP64,"Loa kép sống động, Dolby Vision®, Dolby Atmos, Công Nghệ Tản Nhiệt VC Gia Tốc Lạnh",,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Bảo mật vân tay, Nhận diện khuôn mặt",,1440 x 3216 pixels (QHD+),,,,,
167,Realme XT 730G,,,,6.4 inches,AMOLED,,,,"- Camera chính: 64 MP (f/1.8)
- Camera siêu rộng: 8 MP (f/2.25)
- Cảm biến độ sâu: 2 MP (f/2.4)
- Cảm biến macro: 2 MP (f/2.4)",,,32 MP,,Snapdragon 730G,,Adreno 618,6 GB,64 GB,"microSD, tối đa 256GB","4,000 mAh, sạc nhanh VOOC 30W",,,2 SIM (Nano-SIM),Android 9.0 (Pie),,,,,WiFi 802.11 ac,5.0,GPS + GLONASS,158.7 x 75.2 x 8.6 mm,182 g,,,,,,,,,,,,,,,
168,Xiaomi Poco M3 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Vsmart Bee Lite 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Realme C21,,,,,,,,,,,,,,,,,,,,,,,,,Không,,,,,,,,,,,,,,,,,,,,,,,
171,Tecno Spark 10C,,,,6.6 inches,,Tần số quét 90Hz,,,16MP,,Đèn flash kép,8MP,,Dimensity 9200 Plus,,,16 GB,128 GB,,5000 mAh,Sạc nhanh 18W,USB Type-C,,,,,,4G,2.4GHz+5GHz,,,163.84 x 75.49 x 8.50 mm,,,,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển",,,720 x 1612 (HD+),,,,,
172,realme C55 8GB 256GB,"4.790.000đ
Khi thu cũ lên đời",5.290.000đ,5.990.000đ,6.72 inches,IPS LCD,"Tần số quét 90 Hz, 680 nits",90Hz,Giọt nước,"Camera chính 64 MP
Camera phụ 2 MP",1080p@30fps,"Chụp ảnh, Làm đẹp AI, Bộ lọc màu, Nhận dạng cảnh AI, Chụp đêm, Chuyên gia, Toàn cảnh, Chân dung, Chụp đường phố, HDR, Chế độ 64MP, Thiên văn, Tăng cường màu sắc, Chân dung Bokeh Flare, Chân dung màu AI","8 MP, f/2.0",1080p@30fps,Helio G88,"Lõi tám nhân, 12nm, A75 2.0GHz, A55 1.8GHz",Mali-G52,8 GB,256 GB,"MicroSD, hỗ trợ tối đa 1 TB",5000 MAh,Sạc nhanh SuperVOOC 33W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Có,Có,4G,"802.11 a / b / g / n / ac, băng tần kép, điểm phát sóng",v5.2,GPS / GLONASS / GALILEO / Beidou,"165,5 x 75,5 x 8,3 mm",186 g,Kính,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế","Bảo mật vân tay, Nhận diện khuôn mặt",,1080 x 2400 pixels (FullHD+),,,,,
173,realme C55 (6GB - 128GB),"3.890.000đ
Khi thu cũ lên đời",4.390.000đ,4.990.000đ,6.72 inches,IPS LCD,"Tần số quét 90 Hz, 680 nits",90Hz,Đục lỗ (Nốt ruồi),"Camera chính 64 MP
Camera phụ 2 MP",1080p@30fps,"Chụp ảnh, Làm đẹp AI, Bộ lọc màu, Nhận dạng cảnh AI, Chụp đêm, Chuyên gia, Toàn cảnh, Chân dung, Chụp đường phố, HDR, Chế độ 64MP, Thiên văn, Tăng cường màu sắc, Chân dung Bokeh Flare, Chân dung màu AI","8 MP, f/2.0",1080p@30fps,Helio G88,"Lõi tám nhân, 12nm, A75 2.0GHz, A55 1.8GHz",Mali-G52,6 GB,128 GB,"MicroSD, hỗ trợ tối đa 1 TB",5000 MAh,Sạc nhanh SuperVOOC 33W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Có,Có,4G,"802.11 a / b / g / n / ac, băng tần kép, điểm phát sóng",v5.2,GPS / GLONASS / GALILEO / Beidou,"165,5 x 75,5 x 8,3 mm",186 g,Nhựa,Nhựa,,"Bảo mật mở khoá máy: Vân tay, Khuôn mặt, Face ID, Mống mắt,...",,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế","Bảo mật vân tay, Nhận diện khuôn mặt",,1080 x 2400 pixels (FullHD+),,,,,
174,Samsung Galaxy A02,,,,6.0 inches,PLS TFT,,,,13MP + 2MP + 2MP,1080p@30fps,,5 MP,,Qualcomm SDM439 Snapdragon 439,8 (Octa-core),Adreno 505,4 GB,64 GB,microSD,"5,000 mAh, sạc nhanh 15W",,,2 SIM (Nano-SIM),"Android 11, One UI 3.0",,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","A-GPS, GLONASS, GALILEO, BDS",147.5 x 70.9 x 9.8 mm,168 g,,,,,,,,,,720 x 1520 pixels,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
175,Xiaomi Mi 8 SE 6GB RAM,,,,5.88 inches,"Cảm ứng điện dung AMOLED, 16 triệu màu",,,,"12 MP (f/1.9, 1.4µm, điểm ảnh kép PDAF, gyro-EIS) + 5 MP (f/2.0, 1.12µm), tự động lấy nét nhận diện theo giai đoạn điểm ảnh kép, LED flash","2160p@60fps, 1080p@30/120fps",,"20 MP (f/2.0, 2.0µm), 1080p",,Qualcomm SDM710 Snapdragon 710,2x 2.2 GHz Kryo 360 & 6x 1.7 GHz Kryo 360,Adreno 616,,64 GB,Không,Li-Po 3120 mAh,,,2 SIM (Nano-SIM),8.1 (Oreo),true,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","A-GPS, GLONASS, BDS, GALILEO",147.3 x 73.1 x 7.5 mm (5.80 x 2.88 x 0.30 in),164 g (5.78 oz),,,,,,,,,,1080 x 2244 pixels (FullHD+),,,,"Vân tay, gia tốc, con quay quy hồi, khoảng cách, la bàn",
176,Realme GT3,,,,6.74 inches,AMOLED,"1 tỷ màu, tần số quét 144Hz, HDR10+, 1400 nits",,,"Camera góc rộng: 50MP, f/1.9, 24mm, 1/1.56"", 1.0µm, PDAF, OIS
Camera góc siêu rộng: 8MP, f/2.2, 16mm, 112˚, 1/4.0"", 1.12µm
Microscope: 2 MP, f/3.3, 20mm","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Đèn flash hai tông màu LED kép, HDR, toàn cảnh","Camera góc rộng: 16MP, f/2.5, 25mm, 1/3.09"", 1.0µm","1080p@30fps, gyro-EIS",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,8 GB,128 GB,Không,4600 mAh,Sạc có dây 240W,USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Không,Có,5G,802.11 a/b/g/n/ac,v5.3,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",163.9 x 75.8 x 8.9 mm,199 g,Kính,Nhựa,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,02/2023,1240 x 2772 pixels,,,,,
177,Xiaomi Poco C31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Xiaomi Redmi Note 13 Pro+,,,,6.67 inches,OLED,"Tần số quét 120Hz, 68 tỷ màu, Dolby Vision, HDR10+, 1800 nits
Corning Gorilla Glass Victus",,,"Camera góc rộng: 200 MP, f/1.7, 1/1.4"", 0.56µm, multi-directional PDAF, OIS
Camera góc siêu rộng: 8 MP, f/2.2, 120˚, 1/4"", 1.12µm
Camera macro:2 MP, f/2.4","4K@24/30fps, 1080p@30/60/120fps","Đèn flash hai tông màu LED kép, HDR, toàn cảnh",16 MP,1080p@30/60fps,Mediatek Dimensity 7200 Ultra (4 nm),2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510,Mali-G610 MC4,12 GB,256 GB,Không,5000 mAh,Sạc nhanh 120W,USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Không,Có,5G,"802.11 a/b/g/n/ac/6, dual-band","v5.3, A2DP, LE","GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1)",161.4 x 74.2 x 8.9 mm,204.5 g,Kính,Nhôm,IP68,,Loa âm thanh nổi,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,09/2023,1220 x 2712 pixels,,,,,
179,Vivo X90 Pro Plus,,,,6.78 inches,AMOLED,"1 tỷ màu, 120Hz, Dolby Vision, HDR10+, 1800 nits",,,"Camera góc rộng: 50.3MP, f/1.8, 23mm, 1.6µm, Dual Pixel PDAF, Laser AF, OIS
Tele kính tiềm vọng: 64MP, f/3.5, 90mm, 0.7µm, PDAF, OIS, 3.5x optical zoom
Camera chụp xa: 50MP, f/1.6, 50mm, 0,7µm, AF, zoom quang 2x, OIS 48
Camera góc siêu rộng:","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS, 14-bit RAW video","Hệ thống quang học Zeiss, lớp phủ ống kính Zeiss T*, Pixel Shift, đèn flash hai tông màu LED kép, HDR, toàn cảnh","Camera góc rộng: 32MP, f/2.5, 24mm, 1/2.8"", 0.8µm",1080p@30/60fps,Snapdragon 8 thế hệ 2 (4nm),1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Adreno 740,12 GB,256 GB,Không,4700 mAh,"Sạc có dây 80W
Sạc không dây 50W
Sạc có dây đảo ngược",USB Type-C,2 SIM (Nano-SIM),Android 13,Có,Không,Có,5G,802.11 a/b/g/n/ac/6,v5.3,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS","164,4 x 75,3 x 9,7 mm",221 g,,Nhôm,IP68,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,1440 x 3200 pixels (QHD+),,,,,
180,Realme C31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Samsung Galaxy Fold5 12GB 1TB,"47.490.000đ
Khi thu cũ lên đời",47.990.000đ,51.990.000đ,7.6 inches,Dynamic AMOLED 2X,"Màn hình chính rộng: 7,6 inch, 21.6:18, Dynamic AMOLED 2X, 1-120Hz, Hỗ trợ S Pen
Màn hình ngoài rộng: 6,2 inch, HD+ (2316 x 904), Dynamic AMOLED 2X, 23.1:9, 48-120Hz
Độ sáng tối đa: 1750 nits Mặt kính cảm ứng Chính: Ultra Thin Glass & Phụ: Corning",120Hz,Màn hình gập,"Camera siêu rộng: 12MP F2.2, 123°, 1.12μm
Camera góc rộng: 50MP, F1.8, Dual Pixel AF, OIS, 2.0μm
Camera Tele: 10 MP, F2.4, PDAF, OIS, 1.0μm, zoom 3X, zoom kỹ thuật số 30X",8K 4320p@30fps,"Zoom quang học
Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Chống rung quang học (OIS)
FlexCam
Zoom kỹ thuật số","Camera bên ngoài:10 MP, f/2.2
Camera bên trong: 4 MP, F1.8",,Snapdragon 8 Gen 2 for Galaxy (4nm) 8 nhân,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,1 TB,không hỗ trợ thẻ nhớ,4400 mAh,"Sạc tối đa 25W
Sạc không dây
Sạc ngược không dây
Sạc pin nhanh
Tiết kiệm pin",USB Type-C,2 SIM (nano‑SIM và eSIM),Android 13,,,Có,5G,"Dual-band (2.4 GHz/5 GHz)
Wi-Fi 802.11 a/b/g/n/ac/ax
Wi-Fi MIMO",v5.3,"GLONASS
GPS
GALILEO
QZSS
BEIDOU","Mở: 154.9 x 129.9 x 6.1mm
Gập: 154.9 x 67.1 x 13.4mm","253g,",Nhôm,Kim loại,IPX8,"Ghi âm mặc định, Ghi âm cuộc gọi",,Cảm biến vân tay cạnh bên,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Kháng nước, kháng bụi",7/2023,2176 x 1812 pixels (QXGA+),"Chạm 2 lần tắt/sáng màn hình
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Âm thanh AKG",Màn hình,,,S Pen
182,Vivo Y02A 3GB 32GB,,,,6.51 inches,IPS LCD,"Tần số quét 60 Hz, Độ sáng tối đa: 400 nits, Mặt kính cảm ứng: Kính cường lực Panda",,,"8 MP, f/2.0",FullHD 1080p@30fpsHD 720p@30fps,"Làm đẹp, Trôi nhanh thời gian (Time Lapse)","5 MP, f/2.2",,MediaTek Helio P35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,3 GB,32 GB,micro SD,5000 mAh,Sạc nhanh 10W,USB Type-C,2 SIM (Nano-SIM),Android 12,,Có,,4G,"2,4 GHz / 5 GHz",v5.0,"QZSS, GPS, BEIDOU, GLONASS, GALILEO",163.99 × 75.63 × 8.49 mm,186g,Nhựa,Nhựa,IP52,"Chế độ đơn giản (Giao diện đơn giản)
Chạm 2 lần tắt/sáng màn hình
Chặn cuộc gọi
Chặn tin nhắn
Trợ lý ảo Google Assistant
Mở khoá khuôn mặt",,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Cảm biến áp kế",,,1600 x 720 pixels (HD+),,,,,
183,Vivo Y73t,,,,6.58 inches,IPS LCD,,,,"Camera góc rộng: 50MP, f/1.8, 26mm, PDAF
Camera Macro: 2 MP, f/2.4",1080p@30fps,"Đèn flash hai tông màu LED kép, HDR, toàn cảnh","Camera góc rộng: 8 MP, f/2.0",1080p@30fps,MediaTek MT6833 Mật độ 700 (7 nm),"2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",Mali-G57 MC2,8 GB,128 GB,Không,6000 mAh,"Sạc nhanh 44W, 50% trong 33 phút (được quảng cáo)",USB Type-C,2 SIM (Nano-SIM),Android 11,,Có,Không,5G,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.1, A2DP, LE, aptX HD","Có, với A-GPS, GLONASS, GALILEO, BDS, QZSS","163,9 x 75,3 x 9,2 mm","201,5 g",Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế",,,1080 x 2408 pixels,,,,,
