Bluetooth,Bộ nhớ trong,Camera sau,Camera trước,Chipset,Chất liệu,Cảm ứng,Dung lượng Pin,GPS,Ghi âm,Hệ điều hành,Hỗ trợ sạc tối đa,Hỗ trợ thẻ nhớ ngoài,Jack 3.5mm,Kích thước màn hình,Kích thước sản phẩm,Link,Loại SIM,Loại màn hình,Model,Màu sắc,Mạng 4G,Mạng 5G,Mở khóa nhanh,NFC,Name,Nhà sản xuất,Năm ra mắt ,Price,RAM,Radio,Thiết kế,Thời gian bảo hành,Tiện ích khác ĐTDĐ,Tần số quét màn hình,USB,WIFI,Xuất xứ,Đèn Flash,Địa điểm bảo hành,Độ phân giải màn hình,CPU,Chống nước,Khối lượng sản phẩm (gram),Loại pin,Phụ kiện trong hộp,Sạc kèm theo máy (W),Số khe SIM,Video,Độ sáng tối đa,Jack tai nghe,Khối lượng sản phẩm (kg),Loa ngoài,Mạng 3G,Màn hình tràn viền
,128 GB,50 MP F1.8 OIS (Rộng); 12 MP F2.2 (Siêu Rộng); 5 MP F2.4 (Cận cảnh),32MP F2.2,Exynos 1380 8 nhân,Mặt lưng kính,,5000 mAh,,,"Android 13, One UI 5",Tối đa 25W,Thẻ nhớ tối đa 1TB,,"6.4 """,158.2 x 76.7 x 8.2 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a54-5g-8gb-128gb-den.html,Nano SIM,"Super AMOLED, 1000 nits, Eye-care giảm tới 50% ánh sáng xanh",A54 5G (SM-A546E/DS),Đen,,Hỗ trợ 5G,Vân tay trong màn hình,,Điện thoại Samsung Galaxy A54 5G 8GB/128GB Đen,Samsung,2023,8.490.000,8 GB,,,12 Tháng,,120 Hz,Type-C,,Việt Nam,,Nguyễn Kim,FHD+ pixels,,IP67,,,,,,,,,0.202 kg,Loa kép âm thanh vòm Dolby Atmos,,
Bluetooth 5.0,128MB,,,Unisoc T107,,,1450mAh,,Có,S30+,,MicroSD lên đến 32GB,Có,"1.77 """,121.5 x 50 x 14.4 mm,https://www.nguyenkim.com/dien-thoai-nokia-105-4g-pro-den.html,2 Nano SIM,,NOKIA1054GPRO (TA-1538),Đen,Có,Không,,,Điện thoại Nokia 105 4G Pro Đen,Nokia,2023,680.000,48MB,Có,,12 Tháng,"Các trò chơi cài sẵn Snake | Tetris, Blackjack, DOODLE JUMP, Racing Attack (try-and-buy)",,Micro-USB,,Trung Quốc,,Nguyễn Kim,,,,93 gram,,,,2,,,,,,Có,
Bluetooth 5.3,128GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.1 """,146.6 x 70.6 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-128gb-natural-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PRO128GB,Titan Tự Nhiên,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro 128GB Titan Tự Nhiên,iPhone,2023,28.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x + 4x),IP68,187 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
Bluetooth 5.1,128GB,"50MP, 2MP, 2MP",13MP,Snapdragon 680 (6nm),,,5000mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",,Android 13,Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.7 """,168 x 77.8 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a05s-4gb-128gb-xanh.html,2 Nano SIM,PLS LCD,SAMSUNGA05S (SM-A057F/DS),Xanh,Hỗ trợ,Không hỗ trợ,Bảo mật vân tay cạnh bên,Không hỗ trợ,Điện thoại Samsung Galaxy A05s 4GB/128GB Xanh,Samsung,2023,3.590.000,4GB,Không hỗ trợ,Nguyên khối,12 Tháng,,90Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,LED Flash,Nguyễn Kim,Full HD+ (2400 x 1080) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,194 gram,,,Không,,1080p@30/60fps,,Hỗ trợ,,Hỗ trợ,,
Bluetooth 5.3,128GB,"Camera Chính 48MP, Camera Ultra Wide 12MP",12MP,Apple A16 Bionic,"Khung Nhôm, mặt trước Ceramic Shield, mặt sau Kính pha màu",,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, và BeiDou",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,Không,Không,"6.1 """,147.6 x 71.6 x 7.8 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-128gb-black-vi.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15128GB,Đen,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 128GB Đen,iPhone,2023,21.990.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6 (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),IP68,171 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,Có,,
5.3,64 GB,8 MP,5 MP,"Helio G35, tối đa 2.3GHz",,,"5000 mAh, sạc 10W",,,	Android 12,,Hỗ trợ tối đa 1 TB,Có,"6.56 """,164.2 x 75.6 x 8.3 mm,https://www.nguyenkim.com/dien-thoai-oppo-a17k-3gb-64gb-vang.html,2 nano SIM,"LCD, Kính cường lực Panda",A17K (CPH2471),Vàng,,,Cảm biến vân tay (cạnh bên),,Điện thoại OPPO A17K 3GB/64GB Vàng,OPPO,,2.990.000,3 GB,,,12 Tháng,,,,,Trung Quốc,Có,Nguyễn Kim,HD+ (720 x 1612) pixels,,IPX4,,,,,,,,,,,,
Bluetooth 5.1,128GB,"50MP, 2MP, 2MP",13MP,Snapdragon 680 (6nm),,,5000mAh,"GPS, GLONASS, GALILEO, BDS, QZSS",,Android 13,Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.7 """,168 x 77.8 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a05s-4gb-128gb-den.html,2 Nano SIM,PLS LCD,SAMSUNGA05S (SM-A057F/DS),Đen,Hỗ trợ,Không hỗ trợ,Bảo mật vân tay cạnh bên,Không hỗ trợ,Điện thoại Samsung Galaxy A05s 4GB/128GB Đen,Samsung,2023,3.590.000,4GB,Không hỗ trợ,Nguyên khối,12 Tháng,,90Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,LED Flash,Nguyễn Kim,Full HD+ (2400 x 1080) pixels,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,194 gram,,,Không,,1080p@30/60fps,,Hỗ trợ,,Hỗ trợ,,
Bluetooth 5.3,128GB,"50MP, 8MP, 2MP",13MP,Exynos 1280 (5nm),,,6000mAh,"GPS, GLONASS, GALILEO, BDS",,"Android 13, One UI 5.1",Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.5 """,161.7 x 77.2 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-m34-5g-8gb-128gb-xanh-dam.html,,Super AMOLED,SAMSUNGM34 (SM-M346B1/DS),Xanh đậm,,Hỗ trợ,Bảo mật vân tay cạnh bên,Hỗ trợ,Điện thoại Samsung Galaxy M34 5G 8GB/128GB Xanh Đậm,Samsung,2023,6.790.000,8GB,Không hỗ trợ,Nguyên khối,12 Tháng,,120Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Việt Nam,LED Flash,Nguyễn Kim,Full HD+ (2400 x 1080) pixels,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,208 gram,,,Không,,"4K@30fps, 1080p@30fps",1000 nits,Hỗ trợ,,Hỗ trợ,,
v5.3,512GB,12MP + 12MP,10MP,Snapdragon® 8 Gen 2 dành cho Galaxy,Khung viền: Armor aluminum và mặt lưng Gorilla Glass Victus 2,Có,3700mAh,"GPS,Glonass,Beidou,Galileo,QZSS",Có,"Android 13, One UI 5.1.1",Sạc nhanh 25W,Không,Không,"Chính 6.7"". Phụ 3.4 """,Mở: 165.1 x 71.9 x 6.9 mm. Đóng: 85.1 x 71.9 x 15.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-z-flip-5-5g-8gb-512gb-xanh.html,Nano-SIM and Esim,Chính: Dynamic AMOLED 2XPhụ: Super AMOLED,FLIP 5 512GB (SM-F731B),Xanh Bạc Hà,,Có,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền",Có,Điện thoại Samsung Galaxy Z Flip 5 5G 8GB/512GB Xanh bạc hà,Samsung,2023,18.490.000,8GB,Không,"Nguyên khối, Màn hình gập",12 Tháng,Samsung Pay,120Hz,Type-C,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",Việt Nam,Có,Nguyễn Kim,Chính 1080 x 2640 pixels. Phụ: 720 x 748 pixels,,IPx8,187g,,,,,UHD 4K (3840 x 2160)@60fps,,Không,,Có,,
Bluetooth 5.0,128MB,,,Unisoc T107,,,1450mAh,,Có,S30+,,MicroSD lên đến 32GB,Có,"1.77 """,121.5 x 50 x 14.4 mm,https://www.nguyenkim.com/dien-thoai-nokia-105-4g-pro-xanh.html,2 Nano SIM,,NOKIA1054GPRO (TA-1538),Xanh,Có,Không,,,Điện thoại Nokia 105 4G Pro Xanh,Nokia,2023,680.000,48MB,Có,,12 Tháng,"Các trò chơi cài sẵn Snake | Tetris, Blackjack, DOODLE JUMP, Racing Attack (try-and-buy)",,Micro-USB,,Trung Quốc,,Nguyễn Kim,,,,93 gram,,,,2,,,,,,Có,
Bluetooth 5.0,128GB,"50MP, 2MP",8MP,MediaTek Helio G85,Polymer cao cấp,Cảm ứng điện dung đa điểm,5000 mAh,"GPS, BEIDOU, GLONASS, GALILEO, QZSS",Hỗ trợ,"Android 13, Funtouch OS 13",Sạc nhanh 15W,Hỗ trợ 1 TB,,"6.56 """,163.74 x 75.43 x 8.09 mm,https://www.nguyenkim.com/dien-thoai-vivo-y17s-4gb-128gb-tim.html,2 Nano SIM + 1 Micro SD,LCD,VIVOY17S (V2310),Tím,Có,Không,Vân tay cạnh bên,Không hỗ trợ,Điện thoại Vivo Y17s 4GB/128GB Tím,Vivo,2023,3.690.000,4GB,Hỗ trợ,Nguyên khối,12 Tháng,,60 Hz,Type-C,Dual-band (2.4 GHz/5 GHz),Trung Quốc,,Nguyễn Kim,HD+ (1612 x 720) pixels,2.0GHz*2 + 1.8GHz*6,IP54,186 gram,Li-ion,"Dây USB, Củ sạc, Que lấy SIM, Ốp lưng, Miếng dán màn hình (Dán sẵn)",,,MP4,,,,,Có,Không hỗ trợ
Bluetooth 5.2,128GB,"50MP (AF), 2MP (Macro)",8MP (FF),Unisoc 9863A1,Mặt kính phía lưng máy,,5050mAh,"GPS, AGPS, Galileo",,Android 13,10W (5V2A),MicroSD lên đến 256GB,Có,"6.5 """,164.6 x 75.9 x 8.55 mm,https://www.nguyenkim.com/dien-thoai-nokia-c32-4gb-128gb-xanh.html,2 Nano SIM + MicroSD,Màn hình giọt nước,NOKIAC32 (TA-1534),Xanh,Có,Không,"Cảm biến vân tay, nhận diện khuôn mặt",,Điện thoại Nokia C32 4GB/128GB Xanh,Nokia,2023,2.850.000,4GB,Có,,12 Tháng,,,Type-C,802.11 b/g/n,Trung Quốc,LED Flash,Nguyễn Kim,HD+ pixels,,Kháng nước IP52,199.4 gram,,"Sạc, Cáp USB type-C, tai nghe, ốp lưng, miếng bảo vệ màn hình, khóa mở sim",,3 khe riêng biệt,,,3.5 mm,,,,
Bluetooth 5.3,128GB,"50MP, 8MP, 2MP",13MP,Exynos 1280 (5nm),,,6000mAh,"GPS, GLONASS, GALILEO, BDS",,"Android 13, One UI 5.1",Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.5 """,161.7 x 77.2 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-m34-5g-8gb-128gb-xanh-nhat.html,,Super AMOLED,SAMSUNGM34 (SM-M346B1/DS),Xanh nhạt,,Hỗ trợ,Bảo mật vân tay cạnh bên,Hỗ trợ,Điện thoại Samsung Galaxy M34 5G 8GB/128GB Xanh Nhạt,Samsung,2023,6.790.000,8GB,Không hỗ trợ,Nguyên khối,12 Tháng,,120Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Việt Nam,LED Flash,Nguyễn Kim,Full HD+ (2400 x 1080) pixels,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,208 gram,,,Không,,"4K@30fps, 1080p@30fps",1000 nits,Hỗ trợ,,Hỗ trợ,,
v5.3,512GB,12MP + 12MP,10MP,Snapdragon® 8 Gen 2 dành cho Galaxy,Khung viền: Armor aluminum và mặt lưng Gorilla Glass Victus 2,Có,3700mAh,"GPS,Glonass,Beidou,Galileo,QZSS",Có,"Android 13, One UI 5.1.1",Sạc nhanh 25W,Không,Không,"Chính 6.7"". Phụ 3.4 """,Mở: 165.1 x 71.9 x 6.9 mm. Đóng: 85.1 x 71.9 x 15.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-z-flip-5-5g-8gb-512gb-tim.html,Nano-SIM and Esim,Chính: Dynamic AMOLED 2XPhụ: Super AMOLED,FLIP 5 512GB (SM-F731B),Tím,,Có,"Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền",Có,Điện thoại Samsung Galaxy Z Flip 5 5G 8GB/512GB Tím,Samsung,2023,18.490.000,8GB,Không,"Nguyên khối, Màn hình gập",12 Tháng,Samsung Pay,120Hz,Type-C,"802.11 a/b/g/n/ac/ax 2.4G+5GHz+6GHz, HE160, MIMO, 1024-QAM",Việt Nam,Có,Nguyễn Kim,Chính 1080 x 2640 pixels. Phụ: 720 x 748 pixels,,IPx8,187g,,,,,UHD 4K (3840 x 2160)@60fps,,Không,,Có,,
Bluetooth 5.0,128GB,"50MP, 2MP",8MP,MediaTek Helio G85,Polymer cao cấp,Cảm ứng điện dung đa điểm,5000 mAh,"GPS, BEIDOU, GLONASS, GALILEO, QZSS",Hỗ trợ,"Android 13, Funtouch OS 13",Sạc nhanh 15W,Hỗ trợ 1 TB,,"6.56 """,163.74 x 75.43 x 8.09 mm,https://www.nguyenkim.com/dien-thoai-vivo-y17s-4gb-128gb-xanh.html,2 Nano SIM + 1 Micro SD,LCD,VIVOY17S (V2310),Xanh Đen,Có,Không,Vân tay cạnh bên,Không hỗ trợ,Điện thoại Vivo Y17s 4GB/128GB Xanh Đen,,2023,3.690.000,4GB,Hỗ trợ,Nguyên khối,12 Tháng,,60 Hz,Type-C,Dual-band (2.4 GHz/5 GHz),Trung Quốc,,Nguyễn Kim,HD+ (1612 x 720) pixels,2.0GHz*2 + 1.8GHz*6,IP54,186 gram,Li-ion,"Dây USB, Củ sạc, Que lấy SIM, Ốp lưng, Miếng dán màn hình (Dán sẵn)",,,MP4,,,,,Có,Không hỗ trợ
Bluetooth 5.2,128GB,"50MP (AF), 2MP (Macro)",8MP (FF),Unisoc 9863A1,Mặt kính phía lưng máy,,5050mAh,"GPS, AGPS, Galileo",,Android 13,10W (5V2A),MicroSD lên đến 256GB,Có,"6.5 """,164.6 x 75.9 x 8.55 mm,https://www.nguyenkim.com/dien-thoai-nokia-c32-4gb-128gb-xam.html,2 Nano SIM + MicroSD,Màn hình giọt nước,NOKIAC32 (TA-1534),Xám,Có,Không,"Cảm biến vân tay, nhận diện khuôn mặt",,Điện thoại Nokia C32 4GB/128GB Xám,Nokia,2023,2.850.000,4GB,Có,,12 Tháng,,,Type-C,802.11 b/g/n,Trung Quốc,LED Flash,Nguyễn Kim,HD+ pixels,,Kháng nước IP52,199.4 gram,,"Sạc, Cáp USB type-C, tai nghe, ốp lưng, miếng bảo vệ màn hình, khóa mở sim",,3 khe riêng biệt,,,3.5 mm,,,,
v5.0,64GB,50MP - 2MP - 2MP,5MP,Exynos 850 (8nm),Khung & Mặt lưng nhựa,,5000mAh,"GPS, Glonass, Beidou, Galileo, QZSS","Ghi âm mặc định, Ghi âm cuộc gọi","Android 12, One UI Core 4",15 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.5 """,164.7 x 76.7 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a04s-4gb-64gb-den.html,2 SIM (Nano-SIM),IPS LCD,SM-A047F/DS,Đen,Có,,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt",,Điện thoại Samsung Galaxy A04s 4GB/64GB Đen,Samsung,2022,2.790.000,4GB,Có,Nguyên khối,12 Tháng,,90 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac,Việt Nam,Có,Nguyễn Kim,HD+ (720 x 1600) pixels,,,,,,,,,,,,,,
Bluetooth 5.3,128GB,"50MP, 2MP",,Helio G85 (12nm),,,5000mAh,"GPS, GLONASS, GALILEO, BDS",,Android 13,Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.7 """,168.8 x 78.2 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a05-4gb-128gb-bac.html,2 Nano SIM,PLS LCD,SAMSUNGA05 (SM-A055F/DS),Bạc,Hỗ trợ,Không hỗ trợ,,Không hỗ trợ,Điện thoại Samsung Galaxy A05 4GB/128GB Bạc,Samsung,2023,2.690.000,4GB,Không hỗ trợ,Nguyên khối,12 Tháng,,60Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,LED Flash,Nguyễn Kim,HD+ (1600 x 720) pixels,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,195 gram,,,Không,,1080p@30/60fps,,Hỗ trợ,,Hỗ trợ,,
5.3,64 GB,8 MP,5 MP,"Helio G35, tối đa 2.3GHz",,,"5000 mAh, sạc 10W",,,	Android 12,,Hỗ trợ tối đa 1 TB,Có,"6.56 """,164.2 x 75.6 x 8.3 mm,https://www.nguyenkim.com/dien-thoai-oppo-a17k-3gb-64gb-xanh.html,2 nano SIM,"LCD, Kính cường lực Panda",A17K (CPH2471),Xanh,,,Cảm biến vân tay (cạnh bên),,Điện thoại OPPO A17K 3GB/64GB Xanh,OPPO,,2.990.000,3 GB,,,12 Tháng,,,,,Trung Quốc,Có,Nguyễn Kim,HD+ (720 x 1612) pixels,,IPX4,,,,,,,,,,,,
Bluetooth 5.3,128GB,"Camera Chính 48MP, Camera Ultra Wide 12MP",12MP,Apple A16 Bionic,"Khung Nhôm, mặt trước Ceramic Shield, mặt sau Kính pha màu",,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, và BeiDou",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,Không,Không,"6.1 """,147.6 x 71.6 x 7.8 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-128gb-blue.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15128GB,Xanh Dương,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 128GB Xanh Dương,iPhone,2023,21.990.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6 (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,,IP68,171 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,Có,,
Bluetooth 5.2,256 GB,"Chính 64MP, Phụ 2MP",8MP,MediaTek Helio G88,Khung & Mặt lưng nhựa,,5000mAh,GPS / GLONASS / GALILEO / Beidou,Có,"Android 13, Realme UI 4.0",Sạc nhanh SuperVOOC 33W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.72 """,165.6 x 75.9 x 7.89 mm,https://www.nguyenkim.com/dien-thoai-realme-c55-8gb-256gb-vang.html,2 Nano SIM,IPS LCD,RMX3710,Vàng nắng mai,Có,,Mở khoá vân tay cạnh viền,,Điện thoại Realme C55 8GB/256GB Vàng nắng mai,Realme,2023,5.190.000,8 GB,,Nguyên khối,12 Tháng,,90 Hz,Type-C,2.4/5GHz,Trung Quốc,Có,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,"Lõi tám nhân, 12nm, lên đến 2.0GHz",,,,,,,1080P/60fps,,3.5 mm,"0,1895 kg",,,
Bluetooth 5.3,128GB,"Camera Chính 48MP, Camera Ultra Wide 12MP",12MP,Apple A16 Bionic,"Khung Nhôm, mặt trước Ceramic Shield, mặt sau Kính pha màu",,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, và BeiDou",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,Không,Không,"6.1 """,147.6 x 71.6 x 7.8 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-128gb-pink-vi.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15128GB,Hồng,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 128GB Hồng,iPhone,2023,21.990.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6 (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,,IP68,171 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,Có,,
v5.0,64GB,50MP - 2MP - 2MP,5MP,Exynos 850 (8nm),Khung & Mặt lưng nhựa,,5000mAh,"GPS, Glonass, Beidou, Galileo, QZSS","Ghi âm mặc định, Ghi âm cuộc gọi","Android 12, One UI Core 4",15 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.5 """,164.7 x 76.7 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a04s-4gb-64gb-dong.html,2 SIM (Nano-SIM),IPS LCD,SM-A047F/DS,Đồng,Có,,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt",,Điện thoại Samsung Galaxy A04s 4GB/64GB Đồng,Samsung,2022,2.790.000,4GB,Có,Nguyên khối,12 Tháng,,90 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac,Việt Nam,Có,Nguyễn Kim,HD+ (720 x 1600) pixels,,,,,,,,,,,,,,
Bluetooth 5.0,128MB,QVGA,,Unisoc T107,,,1450mAh,,Có,S30+,,MicroSD lên đến 32GB,Có,"1.77 """,121.5 x 50 x 14.4 mm,https://www.nguyenkim.com/dien-thoai-nokia-110-4g-pro-xanh.html,2 Nano SIM,,NOKIA1104GPRO (TA-1559),Xanh,Có,Không,,,Điện thoại Nokia 110 4G Pro Xanh,Nokia,2023,690.000,48MB,Có,,12 Tháng,"Các trò chơi cài sẵn Snake | Tetris, Blackjack, DOODLE JUMP, Racing Attack (try-and-buy)",,Micro-USB,,Trung Quốc,,Nguyễn Kim,,,,94.5 gram,,,,2,,,,,,Có,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.1 """,146.6 x 70.6 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-256gb-white-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PRO256GB,Titan Trắng,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro 256GB Titan Trắng,iPhone,2023,30.990.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2556 x 1179 pixels,Hexa-core (2x + 4x),IP68,187 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
v5.0,64GB,50MP - 2MP - 2MP,5MP,Exynos 850 (8nm),Khung & Mặt lưng nhựa,,5000mAh,"GPS, Glonass, Beidou, Galileo, QZSS","Ghi âm mặc định, Ghi âm cuộc gọi","Android 12, One UI Core 4",15 W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.5 """,164.7 x 76.7 x 9.1 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a04s-4gb-64gb-xanh.html,2 SIM (Nano-SIM),IPS LCD,SM-A047F/DS,Xanh,Có,,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt",,Điện thoại Samsung Galaxy A04s 4GB/64GB Xanh,Samsung,2022,2.790.000,4GB,Có,Nguyên khối,12 Tháng,,90 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac,Việt Nam,Có,Nguyễn Kim,HD+ (720 x 1600) pixels,,,,,,,,,,,,,,
Bluetooth 5.1,64GB,Chính 50MP,5MP,MediaTek Helio G85,Đang cập nhật,,5000mAh,"GPS, GLONASS, GALILEO, BEIDOU",Có,Android 13,10 W,"MicroSD, lên đến 1TB",Có,"6.71 """,168.8x76.4x8.8 mm,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-12c-4gb-64gb-xanh-la.html,Nano SIM,IPS LCD,REDMI12C(4+64),Xanh Lá,Hỗ trợ 4G,,"Cảm biến vân tay, Mở khóa khuôn mặt",,Điện thoại Xiaomi Redmi 12C 4GB/64GB Xanh lá,Xiaomi,2023,2.590.000,4 GB,,Đang cập nhật,18 Tháng,,60 Hz,Micro USB,Wifi 802.11a/b/g/n/ac,Trung Quốc,Có,Nguyễn Kim,HD+ (1650 × 720) pixels,,,,,,,2,,,,0.192 kg,,,
